repository,commit_sha,commit_date,filename,additions,deletions,changes
carla-simulator/carla,5a943d121a26d36ee9795b51b6874136e1ae6036,2026-03-25T15:05:09Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Carla.Build.cs,1,1,2
carla-simulator/carla,fb1617bfda6050757b4389fc26a25eb95b5e82ea,2025-12-17T11:03:04Z,LibCarla/source/carla/FileSystem.cpp,1,1,2
carla-simulator/carla,fb1617bfda6050757b4389fc26a25eb95b5e82ea,2025-12-17T11:03:04Z,LibCarla/source/carla/client/FileTransfer.cpp,1,1,2
carla-simulator/carla,fb1617bfda6050757b4389fc26a25eb95b5e82ea,2025-12-17T11:03:04Z,Unreal/CarlaUnreal/Plugins/Carla/Source/Carla/Vehicle/CustomTerrainPhysicsComponent.cpp,15,4,19
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/AtomicList.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/AtomicSharedPtr.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Buffer.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/BufferPool.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/BufferView.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Debug.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Exception.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/FileSystem.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/FileSystem.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Functional.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Iterator.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/ListView.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Logging.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Memory.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/MoveHandler.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/MsgPack.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/MsgPackAdaptors.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/NonCopyable.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Platform.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/PythonUtil.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/RecurrentSharedFuture.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/Sockets.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/StopWatch.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/StringUtil.cpp,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/StringUtil.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/ThreadGroup.h,1,1,2
carla-simulator/carla,6a78cd7624baadb1b445ad2ada5c20e8467e4270,2025-12-17T15:30:59Z,LibCarla/source/carla/ThreadPool.h,1,1,2
